category,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,place
"Доходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Всего,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Налог на доходы физических лиц,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Безвозмездные поступления,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Безвозмездные поступления от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Дотации бюджетам бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Субсидии бюджетам бюджетной системы Российской Федерации  (межбюджетные субсидии),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Субвенции бюджетам   бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Иные  межбюджетные трансферты,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
"Межбюджетные трансферты, передаваемые бюджетам для компенсации дополнительных расходов, возникших в результате решений, принятых органами власти другого уровня",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Доходы от  приносящей доход деятельности,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Из общей величины доходов - собственные доходы,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
"Расходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Всего,NA,"36837,5",41891,46352,50589,58788,60897,31338,21581,17996,22267,Богородское
Бюджетные инвестиции на увеличение стоимости основных средств,NA,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Общегосударственные вопросы,NA,"20392,5",23285,25217,NA,NA,32752,23728,15639,14041,18192,Богородское
расходы на содержание работников органов местного самоуправления,NA,"14063,6",17391,17157,NA,NA,NA,NA,NA,NA,NA,Богородское
Национальная экономика,NA,NA,NA,42,NA,NA,238,NA,NA,NA,NA,Богородское
Образование,NA,"8210,2",8869,10372,NA,NA,13229,689,1340,896,1140,Богородское
Общее образование,NA,NA,8869,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Бюджетные инвестиции (общее образование) на увеличение стоимости основных средств,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Расходы на оплату труда и начисления на оплату труда (общее образование),NA,NA,5562,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
"Культура, кинематография и средства массовой информации",NA,"4221,9",3002,2225,NA,NA,NA,NA,NA,NA,NA,Богородское
"Культура, кинематография",NA,NA,NA,NA,NA,NA,348,4467,4215,726,716,Богородское
"Здравоохранение, физическая культура и спорт",NA,"4012,9",6733,8496,NA,NA,NA,NA,NA,NA,NA,Богородское
Физическая культура и спорт,NA,"4012,9",6733,NA,NA,NA,9644,2454,NA,NA,NA,Богородское
Бюджетные инвестиции  (физическая культура и спорт) на увеличение стоимости основных средств,NA,110,110,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Расходы на оплату труда и начисления на оплату труда  (физическая культура и спорт),NA,"1860,8",2162,NA,NA,NA,NA,NA,NA,NA,NA,Богородское
Социальная политика,NA,NA,NA,NA,NA,NA,NA,NA,387,664,691,Богородское
"Доходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Всего,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Налог на доходы физических лиц,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Безвозмездные поступления,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Безвозмездные поступления от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Дотации бюджетам бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Субсидии бюджетам бюджетной системы Российской Федерации  (межбюджетные субсидии),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Субвенции бюджетам   бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Иные  межбюджетные трансферты,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Дотации от других бюджетов бюджетной системы Россйской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Субвенции от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Из общей величины доходов - собственные доходы,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
"Расходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Всего,13997,"52338,7",62201,61513,66382,76410,79364,42203,18682,23357,26623,Вешняки
Бюджетные инвестиции на увеличение стоимости основных средств,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Общегосударственные вопросы,8958,25443,30856,30739,NA,NA,42098,27680,15922,16077,19583,Вешняки
Функционирование законодательных (представительных ) органов государственной власти и местного самоуправления,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
расходы на содержание работников органов местного самоуправления,NA,21698,21619,29875,NA,NA,NA,NA,NA,NA,NA,Вешняки
"Функционирование Правительства Российской Федерации, высших органов исполнительной власти субъектов Российской Федерации,  местных администраций",8835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Национальная безопасность и правоохранительная деятельность,622,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Национальная экономика,48,180,190,78,NA,NA,397,NA,NA,NA,NA,Вешняки
Образование,NA,13587,14247,18114,NA,NA,18187,NA,NA,NA,NA,Вешняки
"Культура, кинематография и средства массовой информации",2675,2100,3245,1193,NA,NA,NA,NA,NA,NA,NA,Вешняки
Культура,NA,2100,2092,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
"Культура, кинематография",NA,NA,NA,NA,NA,NA,890,4885,1970,4890,4798,Вешняки
"Здравоохранение, физическая культура и спорт",NA,"10912,7",13662,11386,NA,NA,NA,NA,NA,NA,NA,Вешняки
Физическая культура и спорт,NA,"10912,7",13662,NA,NA,NA,16300,7893,NA,NA,NA,Вешняки
Бюджетные инвестиции  (физическая культура и спорт) на увеличение стоимости основных средств,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
