municipality,category,value,type
Академический,Налоговые доходы,8.3,income
Академический,Неналоговые доходы,0,income
Академический,Безвозмездные поступления,1.5,income
Академический,Доходы: итого,9.8,income
Академический,Общегосударственные вопросы,6.3,expenses
Академический,"Культура, кинематография",2,expenses
Академический,Социальная политика,0.6,expenses
Академический,Средства массовой информации,0.2,expenses
Академический,Расходы: итого,9.1,expenses
Алексеевский,Налоговые доходы,7.8,income
Алексеевский,Неналоговые доходы,0,income
Алексеевский,Безвозмездные поступления,1.3,income
Алексеевский,Доходы: итого,9.1,income
Алексеевский,Общегосударственные вопросы,5.9,expenses
Алексеевский,"Культура, кинематография",0.3,expenses
Алексеевский,Социальная политика,0.9,expenses
Алексеевский,Средства массовой информации,0.2,expenses
Алексеевский,Расходы: итого,7.2,expenses
Алтуфьевский,Налоговые доходы,7,income
Алтуфьевский,Неналоговые доходы,0,income
Алтуфьевский,Безвозмездные поступления,1.4,income
Алтуфьевский,Доходы: итого,8.4,income
Алтуфьевский,Общегосударственные вопросы,7.2,expenses
Алтуфьевский,"Культура, кинематография",0.9,expenses
Алтуфьевский,Социальная политика,0.4,expenses
Алтуфьевский,Средства массовой информации,0.1,expenses
Алтуфьевский,Расходы: итого,8.6,expenses
Арбат,Налоговые доходы,6.8,income
Арбат,Неналоговые доходы,0.1,income
Арбат,Безвозмездные поступления,0.6,income
Арбат,Доходы: итого,7.5,income
Арбат,Общегосударственные вопросы,7,expenses
Арбат,Национальная экономика,0,expenses
Арбат,"Культура, кинематография",0.5,expenses
Арбат,Социальная политика,0.9,expenses
Арбат,Средства массовой информации,0,expenses
Арбат,Расходы: итого,8.4,expenses
Аэропорт,Налоговые доходы,6.8,income
Аэропорт,Неналоговые доходы,0.05,income
Аэропорт,Безвозмездные поступления,1.4,income
Аэропорт,Доходы: итого,8.3,income
Аэропорт,Общегосударственные вопросы,6.9,expenses
Аэропорт,"Культура, кинематография",0.5,expenses
Аэропорт,Социальная политика,0.5,expenses
Аэропорт,Средства массовой информации,0.1,expenses
Аэропорт,Расходы: итого,8,expenses
Бабушкинский,Налоговые доходы,7.3,income
Бабушкинский,Неналоговые доходы,0,income
Бабушкинский,Безвозмездные поступления,1.2,income
Бабушкинский,Доходы: итого,8.5,income
Бабушкинский,Общегосударственные вопросы,7.4,expenses
Бабушкинский,"Культура, кинематография",0.2,expenses
Бабушкинский,Социальная политика,0.9,expenses
