category,municipality,year,value,source,type
Налоговые доходы,Академический,2018,8.3,http://budget.mos.ru,income
Неналоговые доходы,Академический,2018,0,http://budget.mos.ru,income
Безвозмездные поступления,Академический,2018,1.5,http://budget.mos.ru,income
Доходы: итого,Академический,2018,9.8,http://budget.mos.ru,income
Общегосударственные вопросы,Академический,2018,6.3,http://budget.mos.ru,expenses
"Культура, кинематография",Академический,2018,2,http://budget.mos.ru,expenses
Социальная политика,Академический,2018,0.6,http://budget.mos.ru,expenses
Средства массовой информации,Академический,2018,0.2,http://budget.mos.ru,expenses
Расходы: итого,Академический,2018,9.1,http://budget.mos.ru,expenses
Налоговые доходы,Алексеевский,2018,7.8,http://budget.mos.ru,income
Неналоговые доходы,Алексеевский,2018,0,http://budget.mos.ru,income
Безвозмездные поступления,Алексеевский,2018,1.3,http://budget.mos.ru,income
Доходы: итого,Алексеевский,2018,9.1,http://budget.mos.ru,income
Общегосударственные вопросы,Алексеевский,2018,5.9,http://budget.mos.ru,expenses
"Культура, кинематография",Алексеевский,2018,0.3,http://budget.mos.ru,expenses
Социальная политика,Алексеевский,2018,0.9,http://budget.mos.ru,expenses
Средства массовой информации,Алексеевский,2018,0.2,http://budget.mos.ru,expenses
Расходы: итого,Алексеевский,2018,7.2,http://budget.mos.ru,expenses
Налоговые доходы,Алтуфьевский,2018,7,http://budget.mos.ru,income
Неналоговые доходы,Алтуфьевский,2018,0,http://budget.mos.ru,income
Безвозмездные поступления,Алтуфьевский,2018,1.4,http://budget.mos.ru,income
Доходы: итого,Алтуфьевский,2018,8.4,http://budget.mos.ru,income
Общегосударственные вопросы,Алтуфьевский,2018,7.2,http://budget.mos.ru,expenses
"Культура, кинематография",Алтуфьевский,2018,0.9,http://budget.mos.ru,expenses
Социальная политика,Алтуфьевский,2018,0.4,http://budget.mos.ru,expenses
Средства массовой информации,Алтуфьевский,2018,0.1,http://budget.mos.ru,expenses
Расходы: итого,Алтуфьевский,2018,8.6,http://budget.mos.ru,expenses
Налоговые доходы,Арбат,2018,6.8,http://budget.mos.ru,income
Неналоговые доходы,Арбат,2018,0.1,http://budget.mos.ru,income
Безвозмездные поступления,Арбат,2018,0.6,http://budget.mos.ru,income
Доходы: итого,Арбат,2018,7.5,http://budget.mos.ru,income
Общегосударственные вопросы,Арбат,2018,7,http://budget.mos.ru,expenses
Национальная экономика,Арбат,2018,0,http://budget.mos.ru,expenses
"Культура, кинематография",Арбат,2018,0.5,http://budget.mos.ru,expenses
Социальная политика,Арбат,2018,0.9,http://budget.mos.ru,expenses
Средства массовой информации,Арбат,2018,0,http://budget.mos.ru,expenses
Расходы: итого,Арбат,2018,8.4,http://budget.mos.ru,expenses
Налоговые доходы,Аэропорт,2018,6.8,http://budget.mos.ru,income
Неналоговые доходы,Аэропорт,2018,0.05,http://budget.mos.ru,income
Безвозмездные поступления,Аэропорт,2018,1.4,http://budget.mos.ru,income
Доходы: итого,Аэропорт,2018,8.3,http://budget.mos.ru,income
Общегосударственные вопросы,Аэропорт,2018,6.9,http://budget.mos.ru,expenses
"Культура, кинематография",Аэропорт,2018,0.5,http://budget.mos.ru,expenses
Социальная политика,Аэропорт,2018,0.5,http://budget.mos.ru,expenses
Средства массовой информации,Аэропорт,2018,0.1,http://budget.mos.ru,expenses
Расходы: итого,Аэропорт,2018,8,http://budget.mos.ru,expenses
Налоговые доходы,Бабушкинский,2018,7.3,http://budget.mos.ru,income
Неналоговые доходы,Бабушкинский,2018,0,http://budget.mos.ru,income
Безвозмездные поступления,Бабушкинский,2018,1.2,http://budget.mos.ru,income
Доходы: итого,Бабушкинский,2018,8.5,http://budget.mos.ru,income
Общегосударственные вопросы,Бабушкинский,2018,7.4,http://budget.mos.ru,expenses
"Культура, кинематография",Бабушкинский,2018,0.2,http://budget.mos.ru,expenses
Социальная политика,Бабушкинский,2018,0.9,http://budget.mos.ru,expenses
Средства массовой информации,Бабушкинский,2018,0.1,http://budget.mos.ru,expenses
Расходы: итого,Бабушкинский,2018,8.6,http://budget.mos.ru,expenses
Налоговые доходы,Басманный,2018,7.1,http://budget.mos.ru,income
Неналоговые доходы,Басманный,2018,0,http://budget.mos.ru,income
Безвозмездные поступления,Басманный,2018,1.4,http://budget.mos.ru,income
Доходы: итого,Басманный,2018,8.5,http://budget.mos.ru,income
Общегосударственные вопросы,Басманный,2018,7.3,http://budget.mos.ru,expenses
"Культура, кинематография",Басманный,2018,0.6,http://budget.mos.ru,expenses
Социальная политика,Басманный,2018,0.3,http://budget.mos.ru,expenses
Средства массовой информации,Басманный,2018,0.8,http://budget.mos.ru,expenses
Расходы: итого,Басманный,2018,9,http://budget.mos.ru,expenses
Налоговые доходы,Беговой,2018,6.8,http://budget.mos.ru,income
Неналоговые доходы,Беговой,2018,0,http://budget.mos.ru,income
Безвозмездные поступления,Беговой,2018,1.1,http://budget.mos.ru,income
Доходы: итого,Беговой,2018,8,http://budget.mos.ru,income
Общегосударственные вопросы,Беговой,2018,6,http://budget.mos.ru,expenses
"Культура, кинематография",Беговой,2018,0.4,http://budget.mos.ru,expenses
Социальная политика,Беговой,2018,0.7,http://budget.mos.ru,expenses
Средства массовой информации,Беговой,2018,0.1,http://budget.mos.ru,expenses
Расходы: итого,Беговой,2018,7.2,http://budget.mos.ru,expenses
Налоговые доходы,Бескудниковский,2018,6.3,http://budget.mos.ru,income
Неналоговые доходы,Бескудниковский,2018,0,http://budget.mos.ru,income
Безвозмездные поступления,Бескудниковский,2018,1.1,http://budget.mos.ru,income
Доходы: итого,Бескудниковский,2018,7.4,http://budget.mos.ru,income
Общегосударственные вопросы,Бескудниковский,2018,8.2,http://budget.mos.ru,expenses
"Культура, кинематография",Бескудниковский,2018,0.6,http://budget.mos.ru,expenses
Средства массовой информации,Бескудниковский,2018,0,http://budget.mos.ru,expenses
Расходы: итого,Бескудниковский,2018,8.8,http://budget.mos.ru,expenses
Налоговые доходы,Бибирево,2018,10.7,http://budget.mos.ru,income
Неналоговые доходы,Бибирево,2018,0,http://budget.mos.ru,income
Безвозмездные поступления,Бибирево,2018,1.7,http://budget.mos.ru,income
Доходы: итого,Бибирево,2018,12.4,http://budget.mos.ru,income
Общегосударственные вопросы,Бибирево,2018,8.8,http://budget.mos.ru,expenses
Жилищно-коммунальное хозяйство,Бибирево,2018,0,http://budget.mos.ru,expenses
Образование,Бибирево,2018,0.2,http://budget.mos.ru,expenses
"Культура, кинематография",Бибирево,2018,0.8,http://budget.mos.ru,expenses
Социальная политика,Бибирево,2018,0.8,http://budget.mos.ru,expenses
Средства массовой информации,Бибирево,2018,0.1,http://budget.mos.ru,expenses
Расходы: итого,Бибирево,2018,10.8,http://budget.mos.ru,expenses
Налоговые доходы,Бирюлево Восточное,2018,9.5,http://budget.mos.ru,income
Неналоговые доходы,Бирюлево Восточное,2018,0,http://budget.mos.ru,income
Безвозмездные поступления,Бирюлево Восточное,2018,1.7,http://budget.mos.ru,income
Доходы: итого,Бирюлево Восточное,2018,11.1,http://budget.mos.ru,income
Общегосударственные вопросы,Бирюлево Восточное,2018,7.8,http://budget.mos.ru,expenses
Национальная безопасность и правоохранительная деятельность,Бирюлево Восточное,2018,0.3,http://budget.mos.ru,expenses
"Культура, кинематография",Бирюлево Восточное,2018,1.8,http://budget.mos.ru,expenses
Социальная политика,Бирюлево Восточное,2018,0.9,http://budget.mos.ru,expenses
Средства массовой информации,Бирюлево Восточное,2018,0.4,http://budget.mos.ru,expenses
Расходы: итого,Бирюлево Восточное,2018,11.2,http://budget.mos.ru,expenses
Налоговые доходы,Бирюлево Западное,2018,7.4,http://budget.mos.ru,income
Неналоговые доходы,Бирюлево Западное,2018,0,http://budget.mos.ru,income
Безвозмездные поступления,Бирюлево Западное,2018,1.2,http://budget.mos.ru,income
Доходы: итого,Бирюлево Западное,2018,8.6,http://budget.mos.ru,income
Общегосударственные вопросы,Бирюлево Западное,2018,6.2,http://budget.mos.ru,expenses
"Культура, кинематография",Бирюлево Западное,2018,0.9,http://budget.mos.ru,expenses
Социальная политика,Бирюлево Западное,2018,0.3,http://budget.mos.ru,expenses
Средства массовой информации,Бирюлево Западное,2018,0.4,http://budget.mos.ru,expenses
Расходы: итого,Бирюлево Западное,2018,7.8,http://budget.mos.ru,expenses
